679852841,1,5000109,2016-02-29 15:51:21
692636794,2,5000158,2016-03-24 11:01:37
696372096,1,5000178,2016-03-30 21:33:44
687942589,1,5000178,2016-03-15 20:54:09
685981805,1,5000178,2016-03-12 14:10:06
685898974,1,5000178,2016-03-12 12:06:49
678725483,1,5000178,2016-02-27 16:11:53
677533949,1,5000178,2016-02-25 11:04:30
677513903,1,5000178,2016-02-25 10:12:38
675363959,1,5000178,2016-02-21 11:21:09
670407065,1,5000178,2016-02-11 10:02:07
668063208,1,5000178,2016-02-06 16:45:51
667922750,1,5000178,2016-02-06 13:11:56
667731191,1,5000178,2016-02-06 02:31:44
666732587,1,5000178,2016-02-03 21:15:43
666410831,1,5000178,2016-02-03 10:46:31
664495406,1,5000178,2016-01-30 15:13:29
663995560,1,5000178,2016-01-29 13:52:38
699812015,2,5000185,2016-03-26 08:57:09
693504058,1,5000185,2016-03-26 08:49:16
699812100,2,5000185,2016-03-24 12:02:39
692575479,1,5000185,2016-03-24 12:01:36
699812012,2,5000185,2016-03-19 09:05:47
689721579,2,5000185,2016-03-19 08:57:23
699812097,1,5000185,2016-03-17 16:13:38
688921846,2,5000185,2016-03-17 16:10:01
699812005,1,5000185,2016-03-12 09:11:03
685821158,2,5000185,2016-03-12 09:03:55
682089995,3,5000296,2016-03-05 08:22:38
674805763,3,5000296,2016-02-20 09:02:57
671300612,3,5000296,2016-02-13 08:30:27
667792636,3,5000296,2016-02-06 08:43:42
660947924,3,5000296,2016-01-23 08:44:44
657646213,3,5000296,2016-01-16 08:48:47
651619278,3,5000296,2016-01-03 09:17:18
651158007,3,5000296,2016-01-02 09:24:11
695581455,3,5000301,2016-03-29 17:38:40
688410963,3,5000301,2016-03-16 18:15:52
686407614,3,5000301,2016-03-13 10:07:40
685998875,3,5000301,2016-03-12 14:25:57
684547252,3,5000301,2016-03-09 18:23:02
680907353,3,5000301,2016-03-02 18:17:40
679338807,3,5000301,2016-02-28 15:52:40
675345889,3,5000301,2016-02-21 10:39:04
673927708,3,5000301,2016-02-18 10:44:02
670770749,2,5000301,2016-02-11 23:13:42
669649325,3,5000301,2016-02-09 17:58:42
668343359,3,5000301,2016-02-07 10:47:46
667962769,3,5000301,2016-02-06 14:10:56
664010431,3,5000301,2016-01-29 14:30:05
658160646,3,5000301,2016-01-17 10:46:15
657811477,3,5000301,2016-01-16 14:25:33
654356968,3,5000301,2016-01-09 09:34:37
651091332,2,5000315,2016-01-02 06:53:39
